95.0 07.74 0.0
95.0 34.79 207.86 0.0
95.0 34.80 221.68 0.0
95.0 34.82 218.10 0.0
95.0 34.82 211.09 0.0
95.0 
95.0 34.79 255.00 0.0
95.0 34.78 117.77 0.0
95.0 34.78 54.06 0.0
95.0 34.79 23.75 0.2
95.0 34.73 255.00 0.2
95.0 34.79 207.93 2.0
95.0 34.76 222.24 4.1
95.0 34.76 214.97 5.9
95.0 34.76 235.91 7.4
95.0 34.76 214.97 9.1
95.0 34.75 228.97 10.4
95.0 34.77 218.45 12.4
95.0 34.79 239.70 13.2
95.0 34.80 221.71 14.4
95.0 34.79 235.55 15.4
95.0 34.79 235.59 16.3
95.0 34.78 239.02 17.2
95.0 34.79 218.27 18.0
95.0 34.78 249.22 18.3
95.0 34.84 204.04 19.7
95.0 34.82 228.43 20.4
95.0 34.80 238.70 20.8
95.0 34.80 235.48 21.4
95.0 34.80 232.13 21.8
95.0 34.80 225.14 22.2
95.0 34.79 245.87 22.6
95.0 34.76 235.77 23.2
95.0 34.73 246.07 23.0
95.0 34.81 197.26 24.1
95.0 34.80 248.95 24.1
95.0 34.80 221.65 24.2
95.0 34.82 228.67 24.5
95.0 34.81 235.31 24.6
95.0 34.82 221.55 24.8
95.0 34.82 231.94 25.0
95.0 34.83 228.50 25.0
95.0 34.84 231.76 25.5
95.0 34.84 221.38 25.9
95.0 34.83 235.11 25.4
95.0 34.77 252.11 25.0
95.0 34.78 232.39 25.7
95.0 34.80 218.23 25.5
95.0 34.87 219.54 26.3
95.0 34.89 214.03 26.3
95.0 34.99 196.92 25.9
95.0 35.04 206.24 25.2
95.0 34.98 237.51 24.1
95.0 34.88 255.00 26.0
95.0 34.87 224.56 25.6
95.0 34.83 254.67 25.6
95.0 34.82 224.95 25.8
95.0 34.84 228.46 25.8
95.0 34.85 228.32 25.9
95.0 34.82 241.78 25.6
95.0 34.83 217.96 25.9
95.0 34.83 242.13 25.8
95.0 34.88 207.21 26.0
95.0 34.89 224.50 25.8
95.0 34.91 213.89 25.8
95.0 34.91 237.79 25.6
95.0 34.95 206.64 25.5
95.0 34.93 224.12 25.2
95.0 34.94 234.25 25.4
95.0 34.93 220.63 25.2
95.0 34.96 217.09 25.1
95.0 34.98 209.84 25.2
95.0 35.02 223.62 25.0
95.0 35.01 216.53 24.8
95.0 35.01 226.47 24.9
95.0 35.01 223.13 25.0
95.0 35.04 216.26 24.8
95.0 35.04 212.88 24.8
95.0 35.09 216.26 24.7
95.0 35.08 212.50 24.5
95.0 35.09 208.98 24.7
95.0 35.09 222.25 24.3
95.0 35.10 215.46 24.3
95.0 35.14 208.44 24.5
95.0 35.16 201.49 23.9
95.0 35.17 224.50 23.6
95.0 35.19 201.28 23.9
95.0 35.20 211.00 23.9
95.0 35.23 207.40 23.7
95.0 35.25 207.14 23.4
95.0 35.28 193.57 23.5
95.0 35.30 206.60 23.2
95.0 35.23 233.69 22.3
95.0 35.25 197.26 22.4
95.0 35.27 206.86 23.2
95.0 35.29 206.66 22.4
95.0 35.30 209.90 22.7
95.0 35.34 186.08 22.8
95.0 35.36 202.51 22.6
95.0 35.44 181.60 22.6
95.0 35.47 194.59 22.6
95.0 35.48 191.98 22.1
95.0 35.51 203.56 22.2
95.0 35.54 181.00 22.0
95.0 35.59 183.20 21.8
95.0 35.63 186.12 21.7
95.0 35.62 190.88 21.5
95.0 35.62 196.17 21.5
95.0 35.63 183.77 20.9
95.0 35.69 188.11 21.3
95.0 35.73 168.94 20.9
95.0 35.79 170.79 20.7
95.0 35.84 173.61 20.6
95.0 35.86 180.06 20.9
95.0 35.88 171.30 19.9
95.0 35.94 174.71 20.2
95.0 35.98 159.95 20.0
95.0 36.02 164.73 19.5
95.0 36.07 155.70 19.6
95.0 36.10 172.13 19.2
95.0 36.17 144.24 19.0
95.0 36.23 143.78 19.2
95.0 36.27 163.19 18.5
95.0 36.31 146.69 18.5
95.0 36.35 150.78 18.2
95.0 36.43 136.28 18.2
95.0 36.48 145.97 17.6
95.0 36.50 141.60 17.6
95.0 36.50 159.20 17.3
95.0 36.54 141.79 17.2
95.0 36.56 148.31 17.0
95.0 36.67 111.68 16.9
95.0 36.70 143.67 16.5
95.0 36.71 139.97 17.1
95.0 36.80 110.65 16.3
95.0 36.83 131.64 16.1
95.0 36.88 124.21 16.2
95.0 36.96 113.02 15.7
95.0 36.97 127.18 15.4
95.0 37.01 129.26 15.1
95.0 37.06 112.17 14.6
95.0 37.09 121.83 14.9
95.0 37.10 128.56 14.6
95.0 37.22 89.41 14.5
95.0 37.27 93.23 14.4
95.0 37.33 89.17 13.9
95.0 37.38 104.78 13.6
95.0 37.42 98.52 13.2
95.0 37.46 94.54 13.2
95.0 37.55 79.34 12.8
95.0 37.61 82.48 12.9
95.0 37.65 84.09 11.8
95.0 37.71 78.03 11.8
95.0 37.72 96.13 12.0
95.0 37.76 75.95 11.5
95.0 37.81 80.91 11.1
95.0 37.87 73.15 11.2
95.0 37.91 76.46 10.6
95.0 38.03 40.04 10.5
95.0 38.08 67.82 10.3
95.0 38.10 74.96 10.0
95.0 38.13 71.07 9.7
95.0 38.17 58.41 9.7
95.0 38.20 58.41 8.9
95.0 38.25 59.12 9.0
95.0 38.31 46.13 9.0
95.0 38.32 66.07 8.6
95.0 38.37 50.39 8.4
95.0 38.41 46.15 8.4
95.0 38.44 53.98 7.6
95.0 38.48 46.17 7.9
95.0 38.52 49.62 7.9
95.0 38.55 46.19 7.6
95.0 38.63 29.84 7.3
95.0 38.69 29.71 7.1
95.0 38.72 41.19 6.7
95.0 38.76 37.13 6.9
95.0 38.82 25.59 6.6
95.0 38.84 40.72 6.3
95.0 38.88 32.76 6.1
95.0 38.94 21.46 5.7
95.0 39.05 0.54 5.6
95.0 39.09 21.50 5.4
95.0 39.15 15.99 5.3
95.0 39.17 25.67 4.7
95.0 39.20 21.52 4.3
95.0 39.25 14.12 5.4
95.0 39.27 21.53 4.4
95.0 39.30 19.33 4.3
95.0 39.38 -3.53 3.7
95.0 39.44 5.16 3.9
95.0 39.49 -1.51 3.9
95.0 39.53 4.89 3.7
95.0 39.52 21.59 3.7
95.0 39.57 2.47 3.0
95.0 39.59 9.09 3.4
95.0 39.65 -9.72 3.0
95.0 39.68 0.74 3.0
95.0 39.75 -14.19 2.9
95.0 39.81 -10.41 2.8
95.0 39.86 -9.46 2.8
95.0 39.89 -6.76 2.7
95.0 39.93 -11.84 3.3
95.0 39.97 -10.34 3.1
95.0 40.00 -11.19 3.7
95.0 40.07 -21.80 3.1
95.0 40.12 -24.01 3.1
95.0 40.18 -27.74 3.2
95.0 40.25 -32.93 3.4
95.0 40.30 -28.82 3.6
95.0 40.34 -29.55 3.6
95.0 40.38 -29.82 4.3
95.0 40.44 -38.12 4.3
95.0 40.48 -34.53 4.3
95.0 40.45 -11.71 4.5
95.0 40.53 -51.08 4.3
95.0 40.57 -40.13 4.1
95.0 40.62 -43.60 4.7
95.0 40.67 -43.91 5.0
95.0 40.68 -38.12 5.0
95.0 40.67 -23.80 5.2
95.0 40.72 -48.87 5.6
95.0 40.75 -44.50 4.7
95.0 40.77 -43.03 5.5
95.0 40.86 -65.55 5.5
95.0 40.90 -54.68 5.7
95.0 40.95 -59.06 6.1
95.0 41.00 -62.49 6.0
95.0 41.05 -64.06 6.4
95.0 41.07 -54.85 6.7
95.0 41.11 -62.51 6.9
95.0 41.13 -59.33 6.9
95.0 41.17 -65.36 7.3
95.0 41.26 -84.76 7.5
95.0 41.30 -74.57 7.2
95.0 41.37 -83.03 7.7
95.0 41.45 -90.20 8.4
95.0 41.53 -98.28 8.2
95.0 41.56 -78.64 8.6
95.0 41.59 -81.53 9.1
95.0 41.62 -83.18 9.0
95.0 41.68 -96.70 9.3
95.0 41.70 -83.74 9.9
95.0 41.77 -100.73 9.8
95.0 41.80 -97.99 10.2
95.0 41.81 -87.89 10.3
95.0 41.87 -107.00 10.5
95.0 41.90 -103.36 10.6
95.0 41.95 -111.34 11.0
95.0 41.98 -104.89 11.2
95.0 42.01 -108.92 11.8
95.0 42.03 -105.66 11.5
95.0 42.03 -102.17 12.0
95.0 42.06 -109.84 11.9
95.0 42.12 -125.10 12.9
95.0 42.12 -103.25 13.1
95.0 42.16 -118.78 12.6
95.0 42.18 -115.63 12.7
95.0 42.18 -108.50 13.2
95.0 42.17 -100.20 13.3
95.0 42.10 -91.01 13.1
95.0 42.19 -127.35 13.2
95.0 42.27 -138.74 13.2
95.0 42.29 -113.07 13.9
95.0 42.30 -122.13 13.8
95.0 42.33 -121.17 14.0
55.0 42.37 -129.67 14.9
55.0 42.39 -126.54 14.7
55.0 42.40 -123.17 14.2
55.0 42.46 -134.35 14.7
55.0 42.44 -121.84 14.6
55.0 
55.0 42.48 255.00 15.2
55.0 42.51 -127.50 15.7
55.0 42.54 95.21 15.7
55.0 42.60 -80.80 16.1
55.0 42.63 204.92 15.3
55.0 42.71 255.00 15.9
55.0 42.75 255.00 17.0
55.0 42.78 255.00 18.1
55.0 42.80 255.00 19.1
55.0 42.81 255.00 20.2
55.0 42.85 255.00 21.1
55.0 42.86 255.00 21.8
55.0 42.88 255.00 22.6
55.0 42.87 255.00 23.2
55.0 42.88 255.00 23.9
55.0 42.89 255.00 24.4
55.0 42.93 255.00 24.7
55.0 42.94 255.00 25.1
55.0 42.92 255.00 25.5
55.0 42.92 255.00 25.8
55.0 42.93 255.00 26.1
55.0 42.88 255.00 26.5
55.0 42.90 255.00 26.8
55.0 42.89 255.00 27.1
55.0 42.84 255.00 27.1
55.0 42.82 255.00 27.1
55.0 42.78 255.00 27.5
55.0 42.78 255.00 27.5
55.0 42.77 255.00 27.9
55.0 42.72 255.00 27.8
55.0 42.79 255.00 27.7
55.0 42.78 255.00 28.0
55.0 42.82 255.00 28.2
55.0 42.79 255.00 28.4
55.0 42.83 255.00 28.1
55.0 42.75 255.00 28.3
55.0 42.78 255.00 28.2
55.0 42.74 255.00 28.2
55.0 42.75 255.00 27.9
55.0 42.76 255.00 28.0
55.0 42.74 255.00 28.4
55.0 42.73 255.00 28.3
55.0 42.71 255.00 28.4
55.0 42.73 255.00 28.1
55.0 42.66 255.00 28.5
55.0 42.67 255.00 28.4
55.0 42.63 255.00 28.1
55.0 42.62 255.00 28.3
55.0 42.57 255.00 28.2
55.0 42.53 255.00 28.3
55.0 42.55 255.00 28.0
55.0 42.52 255.00 28.0
55.0 42.50 255.00 28.1
55.0 42.51 255.00 28.0
55.0 42.47 255.00 27.8
55.0 42.47 255.00 27.9
55.0 42.53 255.00 27.9
55.0 42.51 255.00 27.6
55.0 42.48 255.00 27.7
55.0 42.55 255.00 27.7
55.0 42.53 255.00 27.5
55.0 42.53 255.00 27.5
55.0 42.48 255.00 27.6
55.0 42.48 255.00 27.3
55.0 42.45 255.00 27.4
55.0 42.41 255.00 27.4
55.0 42.39 255.00 27.3
55.0 42.40 255.00 27.3
55.0 42.43 255.00 27.3
55.0 42.39 255.00 26.6
55.0 42.39 255.00 27.6
55.0 42.36 255.00 27.4
55.0 42.36 255.00 27.5
55.0 42.37 255.00 26.3
55.0 42.30 255.00 26.6
55.0 42.30 255.00 27.4
55.0 42.36 255.00 26.9
55.0 42.37 255.00 26.5
55.0 42.34 255.00 26.3
55.0 42.31 255.00 26.7
55.0 42.32 255.00 26.9
55.0 42.37 255.00 26.5
55.0 42.37 255.00 26.2
55.0 42.35 255.00 25.9
55.0 42.31 255.00 26.9
55.0 42.36 255.00 26.7
55.0 42.41 255.00 26.8
55.0 42.48 255.00 26.2
55.0 42.56 255.00 26.5
55.0 42.54 255.00 25.8
55.0 42.55 255.00 25.9
55.0 42.59 255.00 25.9
55.0 42.58 255.00 26.2
55.0 42.57 255.00 25.9
55.0 42.59 255.00 25.9
55.0 42.59 255.00 26.0
55.0 42.64 255.00 25.8
55.0 42.66 255.00 25.9
55.0 42.64 255.00 25.8
55.0 42.66 255.00 25.8
55.0 42.58 255.00 25.4
55.0 42.48 255.00 24.7
55.0 42.44 255.00 25.0
55.0 42.42 255.00 25.0
55.0 42.42 255.00 25.1
55.0 42.44 255.00 25.2
55.0 42.49 255.00 25.2
55.0 42.52 255.00 25.5
55.0 42.58 255.00 25.5
55.0 42.64 255.00 25.9
55.0 42.65 255.00 25.3
55.0 42.72 255.00 25.8
55.0 42.81 255.00 25.6
55.0 42.84 255.00 25.6
55.0 42.91 255.00 25.4
55.0 42.94 255.00 25.3
55.0 42.97 255.00 25.1
55.0 43.01 255.00 25.2
55.0 43.10 255.00 25.0
55.0 43.17 255.00 25.1
55.0 43.22 255.00 25.0
55.0 43.26 255.00 25.0
55.0 43.27 255.00 25.0
55.0 43.33 255.00 24.2
55.0 43.36 255.00 24.7
55.0 43.41 255.00 25.0
55.0 43.45 255.00 25.0
55.0 43.47 255.00 24.8
55.0 43.49 255.00 24.9
55.0 43.53 255.00 25.0
55.0 43.63 255.00 25.0
55.0 43.73 255.00 24.7
55.0 43.74 255.00 24.5
55.0 43.73 255.00 24.4
55.0 43.75 255.00 24.7
55.0 43.77 255.00 24.5
55.0 43.83 255.00 24.6
55.0 43.93 255.00 24.5
55.0 43.97 255.00 24.5
55.0 44.00 255.00 24.5
55.0 44.04 255.00 24.3
55.0 44.07 255.00 25.0
55.0 44.16 255.00 23.7
55.0 44.21 255.00 23.6
55.0 44.19 255.00 24.0
55.0 44.19 255.00 24.0
55.0 44.21 255.00 24.0
55.0 44.23 255.00 24.3
55.0 44.36 255.00 24.8
55.0 44.44 255.00 24.6
55.0 44.41 255.00 24.0
55.0 44.49 255.00 24.2
55.0 44.49 255.00 23.9
55.0 44.51 255.00 24.1
55.0 44.65 255.00 24.0
55.0 44.76 255.00 24.1
55.0 44.82 255.00 24.0
55.0 44.85 255.00 24.0
55.0 45.01 255.00 24.5
55.0 44.97 255.00 23.4
55.0 45.00 255.00 23.5
55.0 45.01 255.00 24.0
55.0 45.09 255.00 24.2
55.0 45.13 255.00 23.7
55.0 45.21 255.00 23.2
55.0 45.24 255.00 23.5
55.0 45.26 255.00 24.2
55.0 45.29 255.00 23.9
55.0 45.33 255.00 23.7
55.0 45.38 255.00 23.8
55.0 45.50 255.00 23.8
55.0 45.55 255.00 23.8
55.0 45.59 255.00 23.7
55.0 45.64 255.00 23.8
55.0 45.63 255.00 23.0
55.0 45.64 255.00 23.9
55.0 45.74 255.00 23.9
55.0 45.79 255.00 23.5
55.0 45.82 255.00 23.4
55.0 45.77 255.00 23.2
55.0 45.82 255.00 23.7
55.0 45.92 255.00 23.4
55.0 46.01 255.00 23.7
55.0 46.06 255.00 23.5
55.0 46.11 255.00 23.4
55.0 46.18 255.00 23.5
55.0 46.26 255.00 23.5
55.0 46.29 255.00 23.4
55.0 46.39 255.00 23.6
55.0 46.58 255.00 23.7
55.0 46.66 255.00 22.9
55.0 46.65 255.00 23.0
55.0 46.67 255.00 23.5
55.0 46.73 255.00 23.5
55.0 46.84 255.00 23.5
55.0 46.88 255.00 23.2
55.0 46.99 255.00 23.2
55.0 47.10 255.00 23.2
55.0 47.19 255.00 23.4
55.0 47.22 255.00 23.0
55.0 47.27 255.00 23.1
55.0 47.34 255.00 23.2
55.0 47.40 255.00 23.1
55.0 47.51 255.00 23.5
55.0 47.69 255.00 23.1
55.0 47.74 255.00 22.5
55.0 47.74 255.00 23.2
55.0 47.79 255.00 23.4
55.0 47.85 255.00 23.0
55.0 47.96 255.00 22.8
55.0 47.98 255.00 22.8
55.0 48.10 255.00 23.0
55.0 48.11 255.00 23.0
55.0 48.17 255.00 23.2
55.0 48.20 255.00 23.0
55.0 48.25 255.00 22.9
55.0 48.30 255.00 22.9
55.0 48.35 255.00 22.9
55.0 48.44 255.00 22.9
55.0 48.55 255.00 23.8
55.0 48.71 235.18 23.3
55.0 48.77 247.15 22.4
55.0 48.78 255.00 22.5
55.0 48.85 255.00 22.8
55.0 48.88 255.00 22.8
55.0 48.96 231.90 22.5
55.0 49.00 255.00 22.6
55.0 49.06 235.69 22.6
55.0 49.12 235.25 22.2
55.0 49.18 242.78 22.4
55.0 49.24 242.12 22.2
55.0 49.30 236.99 22.1
55.0 49.28 252.19 21.5
55.0 49.40 231.08 22.7
55.0 49.50 204.47 21.4
55.0 49.54 234.28 21.7
55.0 49.60 224.77 21.3
55.0 49.65 224.13 21.5
55.0 49.73 202.65 21.4
55.0 49.78 218.18 21.5
55.0 49.87 203.80 20.9
55.0 49.90 210.61 20.7
55.0 50.07 169.84 19.8
55.0 50.11 209.97 20.3
55.0 50.22 181.79 19.8
55.0 50.28 184.22 19.8
55.0 50.35 199.60 19.6
55.0 50.41 178.48 19.4
55.0 50.50 173.96 19.2
55.0 50.57 167.67 19.2
55.0 50.61 195.56 18.6
55.0 50.64 176.60 18.5
55.0 50.76 157.30 18.4
55.0 50.84 160.85 18.6
55.0 50.88 174.06 17.7
55.0 50.96 150.28 17.6
55.0 51.02 149.74 17.5
55.0 51.02 189.37 16.8
55.0 51.08 149.32 16.9
55.0 51.13 157.49 17.0
55.0 51.22 142.64 16.6
55.0 51.26 155.95 16.1
55.0 51.34 132.72 15.7
55.0 51.41 148.62 15.8
55.0 51.49 126.69 15.5
55.0 51.54 138.90 15.1
55.0 51.62 120.75 15.0
55.0 51.58 172.15 14.7
55.0 51.66 120.49 14.6
55.0 51.68 134.89 15.0
55.0 51.69 153.16 14.1
55.0 51.78 109.68 14.4
55.0 51.82 131.06 13.7
55.0 51.94 101.58 13.5
55.0 52.01 114.92 13.4
55.0 52.07 107.42 13.1
55.0 52.13 108.75 12.9
55.0 52.32 63.60 12.6
55.0 52.45 69.48 12.8
55.0 52.49 88.39 11.8
55.0 52.53 93.85 11.3
55.0 52.60 83.39 11.2
55.0 52.65 77.25 11.0
55.0 52.70 82.53 11.0
55.0 52.76 77.05 10.4
55.0 52.86 61.16 10.2
55.0 52.92 65.60 9.8
55.0 53.10 23.31 9.5
55.0 53.14 60.33 9.5
55.0 53.17 60.34 9.1
55.0 53.21 59.12 8.5
55.0 53.27 53.57 8.0
55.0 53.34 42.54 8.2
55.0 53.44 26.30 8.1
55.0 53.51 32.04 7.5
55.0 53.58 40.20 7.1
