95.0  255.00 0.0
95.0 54.53 255.00 0.0
95.0 54.56 255.00 0.0
95.0 54.60 255.00 0.0
95.0 
95.0 54.59 255.00 0.0
95.0 54.59 255.00 0.0
95.0 54.61 255.00 0.5
95.0 54.64 255.00 0.9
95.0 54.58 255.00 3.4
95.0 54.58 255.00 5.0
95.0 54.50 255.00 6.2
95.0 54.43 255.00 8.1
95.0 54.56 255.00 9.4
95.0 54.56 255.00 11.3
95.0 54.58 255.00 13.0
95.0 54.54 255.00 13.6
95.0 54.38 255.00 15.1
95.0 54.39 255.00 16.7
95.0 54.39 255.00 17.6
95.0 54.43 255.00 17.8
95.0 54.43 255.00 18.7
95.0 54.44 255.00 19.7
95.0 54.41 255.00 20.2
95.0 54.49 255.00 20.7
95.0 54.50 255.00 20.9
95.0 54.53 255.00 21.6
95.0 54.49 255.00 22.2
95.0 54.57 255.00 22.8
95.0 54.57 255.00 23.1
95.0 54.56 255.00 23.2
95.0 54.58 255.00 23.7
95.0 54.69 255.00 24.0
95.0 54.70 255.00 24.1
95.0 54.69 255.00 24.6
95.0 54.68 255.00 24.7
95.0 54.78 255.00 24.8
95.0 54.76 255.00 25.0
95.0 54.79 255.00 26.2
95.0 54.82 255.00 25.4
95.0 54.67 255.00 25.6
95.0 54.66 255.00 25.7
95.0 54.66 255.00 26.3
95.0 54.68 255.00 25.7
95.0 54.60 255.00 25.6
95.0 54.60 255.00 26.1
95.0 54.65 255.00 25.7
95.0 54.59 255.00 25.9
95.0 54.59 255.00 25.6
95.0 54.61 255.00 25.8
95.0 54.65 255.00 26.6
95.0 54.68 255.00 26.2
95.0 54.53 255.00 26.0
95.0 54.54 255.00 26.0
95.0 54.57 255.00 25.5
95.0 54.59 255.00 26.1
95.0 54.70 255.00 25.9
95.0 54.71 255.00 26.3
95.0 54.73 255.00 26.7
95.0 54.70 255.00 26.0
95.0 54.77 255.00 26.0
95.0 54.77 255.00 25.8
95.0 54.74 255.00 26.3
95.0 54.77 255.00 25.9
95.0 54.69 255.00 26.2
95.0 54.72 255.00 25.8
95.0 54.74 255.00 26.4
95.0 54.71 255.00 25.7
95.0 54.64 255.00 25.6
95.0 54.67 255.00 25.0
95.0 54.69 255.00 26.0
95.0 54.82 255.00 25.8
95.0 54.76 255.00 25.8
95.0 54.79 255.00 25.3
95.0 54.77 255.00 25.9
95.0 54.65 255.00 25.4
95.0 54.62 255.00 25.4
95.0 54.63 255.00 25.0
95.0 54.69 255.00 25.7
95.0 54.80 255.00 24.8
95.0 54.81 255.00 25.4
95.0 54.90 255.00 25.5
95.0 54.94 255.00 25.2
95.0 54.99 255.00 25.8
95.0 55.04 255.00 25.2
95.0 55.09 255.00 25.0
95.0 55.10 255.00 25.4
95.0 55.17 255.00 24.9
95.0 55.13 255.00 25.0
95.0 55.21 255.00 24.9
95.0 55.23 255.00 24.8
95.0 55.23 255.00 24.5
95.0 55.30 255.00 25.0
95.0 55.28 255.00 24.9
95.0 55.42 255.00 24.7
95.0 55.46 255.00 24.3
95.0 55.44 255.00 25.3
95.0 55.41 255.00 24.7
95.0 55.42 255.00 24.5
95.0 55.43 255.00 25.0
95.0 55.50 255.00 24.2
95.0 55.53 255.00 24.6
95.0 55.61 255.00 24.5
95.0 55.70 255.00 24.5
95.0 55.75 255.00 24.3
95.0 55.78 255.00 24.8
95.0 55.93 255.00 24.3
95.0 55.94 255.00 24.4
95.0 55.96 255.00 24.4
95.0 55.98 255.00 24.5
95.0 55.98 255.00 24.0
95.0 56.04 255.00 24.1
95.0 56.09 255.00 24.3
95.0 56.13 255.00 24.5
95.0 56.19 255.00 23.7
95.0 56.21 255.00 24.0
95.0 56.25 255.00 24.1
95.0 56.34 255.00 23.8
95.0 56.35 255.00 24.1
95.0 56.33 255.00 24.5
95.0 56.42 255.00 23.7
95.0 56.36 255.00 24.0
95.0 56.41 255.00 24.1
95.0 56.49 255.00 23.4
95.0 56.52 255.00 23.7
95.0 56.52 255.00 23.7
95.0 56.65 255.00 23.5
95.0 56.71 255.00 23.5
95.0 56.73 255.00 23.4
95.0 56.74 255.00 23.6
95.0 56.76 255.00 23.6
95.0 56.80 255.00 23.4
95.0 56.86 255.00 23.2
95.0 56.85 255.00 23.2
95.0 56.87 255.00 23.5
95.0 56.95 255.00 23.4
95.0 57.02 255.00 23.2
95.0 57.14 255.00 23.0
95.0 57.15 255.00 23.9
95.0 57.22 255.00 23.4
95.0 57.33 255.00 23.5
95.0 57.41 255.00 23.4
95.0 57.49 255.00 22.8
95.0 57.47 255.00 23.1
95.0 57.46 255.00 23.2
95.0 57.62 255.00 23.2
95.0 57.67 255.00 22.9
95.0 57.75 255.00 22.6
95.0 57.83 255.00 23.1
95.0 57.86 255.00 23.0
95.0 57.92 255.00 22.7
95.0 58.03 255.00 22.7
95.0 58.06 255.00 22.8
95.0 58.09 255.00 23.0
95.0 58.23 255.00 23.1
95.0 58.29 255.00 22.5
95.0 58.36 255.00 22.8
95.0 58.35 255.00 23.4
95.0 58.38 255.00 23.0
95.0 58.55 255.00 23.0
95.0 58.62 255.00 22.6
95.0 58.73 255.00 22.5
95.0 58.77 255.00 22.5
95.0 58.81 255.00 22.9
95.0 58.74 255.00 23.0
95.0 58.87 255.00 23.2
95.0 58.88 255.00 22.7
95.0 59.08 255.00 22.5
95.0 59.20 255.00 22.7
95.0 59.40 255.00 22.5
95.0 59.48 255.00 22.7
95.0 59.55 255.00 22.0
95.0 59.64 255.00 22.3
95.0 59.66 255.00 22.4
95.0 59.58 255.00 22.7
95.0 59.62 255.00 22.5
95.0 59.71 255.00 22.9
95.0 59.84 255.00 22.4
95.0 59.98 255.00 22.3
95.0 60.03 255.00 22.2
95.0 60.11 255.00 22.2
95.0 60.13 255.00 22.2
95.0 60.09 255.00 22.4
95.0 60.09 255.00 22.4
95.0 60.33 255.00 22.6
95.0 60.43 255.00 22.2
95.0 60.51 255.00 22.0
95.0 60.58 255.00 22.2
95.0 60.64 255.00 22.3
95.0 60.59 255.00 22.0
95.0 60.65 255.00 22.4
95.0 60.67 255.00 22.7
95.0 60.91 255.00 22.2
95.0 61.10 255.00 22.0
95.0 61.20 255.00 21.7
95.0 61.25 255.00 22.0
95.0 61.30 255.00 22.2
95.0 61.34 255.00 22.1
95.0 61.38 255.00 22.2
95.0 61.45 255.00 22.4
95.0 61.55 255.00 22.0
95.0 61.68 255.00 21.9
95.0 61.83 255.00 22.0
95.0 61.91 255.00 21.9
95.0 62.08 255.00 21.7
95.0 62.11 255.00 21.8
95.0 62.11 255.00 21.9
95.0 62.07 255.00 22.0
95.0 62.08 255.00 22.0
95.0 62.11 255.00 21.9
95.0 62.18 255.00 22.0
95.0 62.32 255.00 22.4
95.0 62.37 255.00 21.9
95.0 62.42 255.00 22.0
95.0 62.53 255.00 22.1
95.0 62.60 255.00 21.9
95.0 62.71 255.00 22.1
95.0 62.93 255.00 21.9
95.0 63.09 255.00 21.8
95.0 63.31 255.00 21.6
95.0 63.37 255.00 21.3
95.0 63.45 255.00 21.8
95.0 63.59 255.00 20.9
95.0 63.70 255.00 21.7
95.0 63.78 255.00 21.6
95.0 63.84 255.00 21.2
95.0 63.90 255.00 21.5
95.0 63.93 255.00 20.9
95.0 64.00 255.00 21.6
95.0 64.00 255.00 21.4
95.0 64.13 255.00 21.4
95.0 64.19 255.00 21.3
95.0 64.18 255.00 21.9
95.0 64.19 255.00 21.7
95.0 64.17 255.00 21.7
95.0 64.24 255.00 21.5
95.0 64.29 255.00 21.5
95.0 64.31 255.00 21.1
95.0 64.29 255.00 21.5
95.0 64.29 255.00 21.6
95.0 64.34 255.00 21.7
