40 255.00 0.0
40 22.61 255.00 0.3
40 22.62 255.00 0.0
40 22.63 255.00 0.0
40 22.63 255.00 0.0
40 
40 22.63 255.00 0.0
40 22.65 19.81 0.0
40 22.66 96.87 0.0
40 22.68 74.46 0.0
40 22.67 155.83 0.7
40 22.67 255.00 1.3
40 22.66 255.00 4.6
40 22.67 255.00 6.3
40 22.64 255.00 8.0
40 22.65 255.00 9.9
40 22.65 255.00 11.8
40 22.63 255.00 13.1
40 22.63 255.00 14.6
40 22.63 255.00 15.8
40 22.64 255.00 17.2
40 22.66 255.00 18.2
40 22.71 255.00 19.6
40 22.71 255.00 20.5
40 22.64 255.00 21.5
40 22.65 255.00 22.3
40 22.70 255.00 21.7
40 22.70 255.00 23.7
40 22.71 255.00 24.7
40 22.71 255.00 25.0
40 22.71 255.00 25.8
40 22.76 255.00 25.2
40 22.75 255.00 26.5
40 22.79 255.00 27.5
40 22.87 255.00 27.1
40 22.85 255.00 27.3
40 22.87 255.00 27.5
40 22.86 255.00 28.1
40 22.83 255.00 28.4
40 22.82 255.00 28.9
40 22.83 255.00 28.9
40 22.83 255.00 28.4
40 22.75 255.00 29.0
40 22.76 255.00 29.1
40 22.80 255.00 29.2
40 22.86 255.00 29.4
40 22.87 255.00 29.7
40 22.87 255.00 29.3
40 22.75 255.00 29.5
40 22.64 255.00 29.5
40 22.55 255.00 29.9
40 22.51 255.00 29.7
40 22.56 255.00 29.1
40 22.60 255.00 30.0
40 22.69 255.00 29.8
40 22.72 255.00 30.1
40 22.76 255.00 29.9
40 22.69 255.00 29.9
40 22.63 255.00 29.9
40 22.67 255.00 30.0
40 22.70 255.00 29.9
40 22.76 255.00 29.9
40 22.82 255.00 29.9
40 22.80 255.00 30.0
40 22.85 255.00 29.7
40 22.88 255.00 29.5
40 22.94 255.00 28.2
40 23.00 255.00 29.7
40 23.07 255.00 29.3
40 23.08 255.00 30.7
40 23.14 255.00 29.8
40 23.17 255.00 29.9
40 23.26 255.00 28.8
40 23.31 255.00 29.5
40 23.35 255.00 29.3
40 23.38 255.00 29.5
40 23.40 255.00 29.4
40 23.47 255.00 29.5
40 23.56 255.00 29.5
40 23.67 255.00 28.9
40 23.72 255.00 29.3
40 23.79 255.00 29.3
40 23.84 255.00 29.7
40 23.88 255.00 29.2
40 23.92 255.00 29.0
