55.0 -255.00 0.0
55.0 69.08 -255.00 0.0
95.0 69.05 -255.00 0.0
95.0 69.09 -255.00 0.0
95.0 
95.0 69.04 -255.00 0.0
95.0 69.02 -188.07 0.0
95.0 68.98 -134.99 0.0
95.0 68.96 -134.36 0.0
95.0 69.03 -194.68 0.0
95.0 69.01 -224.84 0.0
95.0 68.97 -239.92 0.1
95.0 68.95 -247.46 0.0
95.0 68.94 -251.23 0.0
95.0 68.93 -253.12 0.0
95.0 68.98 -254.06 0.0
95.0 68.94 -254.53 0.0
95.0 68.99 -254.76 0.0
95.0 68.98 -254.88 0.0
95.0 68.96 -254.94 0.0
95.0 68.92 -254.97 0.0
95.0 68.89 -254.99 0.0
95.0 68.88 -254.99 0.0
95.0 68.92 -255.00 0.0
95.0 68.89 -255.00 0.0
95.0 68.83 -255.00 0.0
95.0 68.92 -255.00 0.0
95.0 68.91 -255.00 0.0
95.0 68.90 -255.00 0.0
95.0 68.89 -255.00 0.0
95.0 68.82 -255.00 0.2
95.0 68.79 -255.00 0.0
95.0 68.75 -255.00 0.2
95.0 68.76 -255.00 0.0
95.0 68.70 -255.00 0.1
95.0 68.69 -255.00 0.0
95.0 68.68 -255.00 0.0
95.0 68.71 -255.00 0.0
95.0 68.66 -255.00 0.0
95.0 68.65 -255.00 0.0
95.0 68.67 -255.00 0.0
95.0 68.68 -255.00 0.0
95.0 68.69 -255.00 0.0
95.0 68.66 -255.00 0.0
95.0 68.77 -255.00 0.0
95.0 68.77 -255.00 0.0
95.0 68.80 -255.00 0.0
95.0 68.78 -255.00 0.0
95.0 68.67 -255.00 0.0
95.0 68.66 -255.00 0.0
95.0 68.68 -255.00 0.0
95.0 68.69 -255.00 0.0
95.0 68.70 -255.00 0.0
95.0 68.56 -255.00 0.0
95.0 68.57 -255.00 0.0
95.0 68.55 -255.00 0.0
95.0 68.57 -255.00 0.0
95.0 68.60 -255.00 0.0
95.0 68.60 -255.00 0.0
95.0 68.66 -255.00 0.0
95.0 68.66 -255.00 0.0
95.0 68.63 -255.00 0.0
95.0 68.62 -255.00 0.0
95.0 68.64 -255.00 0.0
95.0 68.66 -255.00 0.0
95.0 68.72 -255.00 0.0
95.0 68.71 -255.00 0.0
95.0 68.72 -255.00 0.3
95.0 68.72 -255.00 0.0
95.0 68.71 -255.00 0.0
95.0 68.72 -255.00 0.0
95.0 68.75 -255.00 0.0
95.0 68.76 -255.00 0.0
95.0 68.76 -255.00 0.2
95.0 68.72 -255.00 0.0
95.0 68.71 -255.00 0.0
95.0 68.72 -255.00 0.0
95.0 68.71 -255.00 0.3
95.0 68.70 -255.00 0.0
95.0 68.66 -255.00 0.0
95.0 68.66 -255.00 0.0
95.0 68.67 -255.00 0.2
95.0 68.64 -255.00 0.0
95.0 68.66 -255.00 0.0
95.0 68.65 -255.00 0.0
95.0 68.67 -255.00 0.2
95.0 68.66 -255.00 0.0
95.0 68.57 -255.00 0.0
95.0 68.57 -255.00 0.0
95.0 68.62 -255.00 0.3
95.0 68.61 -255.00 0.0
95.0 68.61 -255.00 0.0
95.0 68.61 -255.00 0.0
95.0 68.56 -255.00 0.0
95.0 68.57 -255.00 0.0
95.0 68.64 -255.00 0.0
95.0 68.63 -255.00 0.0
95.0 68.65 -255.00 0.0
95.0 68.64 -255.00 0.0
95.0 68.62 -255.00 0.0
95.0 68.66 -255.00 0.0
95.0 68.65 -255.00 0.2
95.0 68.65 -255.00 0.0
95.0 68.62 -255.00 0.0
95.0 68.59 -255.00 0.0
95.0 68.55 -255.00 0.0
95.0 68.55 -255.00 0.0
95.0 68.47 -255.00 0.1
95.0 68.46 -255.00 0.0
95.0 68.50 -255.00 0.0
95.0 68.51 -255.00 0.0
95.0 68.52 -255.00 0.0
95.0 68.46 -255.00 0.0
95.0 68.47 -255.00 0.0
95.0 68.48 -255.00 0.0
95.0 68.47 -255.00 0.0
95.0 68.55 -255.00 0.0
95.0 68.60 -255.00 0.0
95.0 68.58 -255.00 0.0
95.0 68.56 -255.00 0.0
95.0 68.56 -255.00 0.0
95.0 68.54 -255.00 0.0
95.0 68.46 -255.00 0.0
95.0 68.47 -255.00 0.0
95.0 68.49 -255.00 0.0
95.0 68.50 -255.00 0.0
95.0 68.44 -255.00 0.0
95.0 68.44 -255.00 0.0
95.0 68.41 -255.00 0.0
95.0 68.43 -255.00 0.0
95.0 68.38 -255.00 0.0
95.0 68.36 -255.00 0.0
95.0 68.38 -255.00 0.0
95.0 68.38 -255.00 0.0
95.0 68.49 -255.00 0.0
95.0 68.50 -255.00 0.0
95.0 68.49 -255.00 0.0
95.0 68.48 -255.00 0.0
95.0 68.47 -255.00 0.0
95.0 68.46 -255.00 0.0
95.0 68.47 -255.00 0.0
95.0 68.48 -255.00 0.0
95.0 68.49 -255.00 0.0
95.0 68.44 -255.00 0.0
95.0 68.39 -255.00 0.0
95.0 68.37 -255.00 0.0
95.0 68.37 -255.00 0.0
95.0 68.37 -255.00 0.0
95.0 68.37 -255.00 0.0
95.0 68.37 -255.00 0.0
95.0 68.39 -255.00 0.0
95.0 68.52 -255.00 0.0
95.0 68.49 -255.00 0.0
95.0 68.50 -255.00 0.0
95.0 68.51 -255.00 0.0
95.0 68.43 -255.00 0.0
95.0 68.53 -255.00 0.3
95.0 68.52 -255.00 0.0
95.0 68.46 -255.00 0.0
95.0 68.45 -255.00 0.0
95.0 68.44 -255.00 0.0
95.0 68.46 -255.00 0.0
95.0 68.47 -255.00 0.0
95.0 68.46 -255.00 0.0
95.0 68.59 -255.00 0.0
95.0 68.52 -255.00 0.0
95.0 68.51 -255.00 0.0
95.0 68.54 -255.00 0.0
95.0 68.54 -255.00 0.0
95.0 68.53 -255.00 0.0
95.0 68.55 -255.00 0.0
95.0 68.52 -255.00 0.0
95.0 68.54 -255.00 0.0
95.0 68.55 -255.00 0.0
95.0 68.53 -255.00 0.0
95.0 68.52 -255.00 0.0
95.0 68.52 -255.00 0.0
95.0 68.51 -255.00 0.0
95.0 68.50 -255.00 0.2
95.0 68.48 -255.00 0.0
95.0 68.47 -255.00 0.0
95.0 68.49 -255.00 0.0
95.0 68.39 -255.00 0.0
95.0 68.39 -255.00 0.0
95.0 68.37 -255.00 0.0
95.0 68.41 -255.00 0.0
95.0 68.36 -255.00 0.0
95.0 68.34 -255.00 0.3
95.0 68.37 -255.00 0.0
95.0 68.33 -255.00 0.0
95.0 68.33 -255.00 0.0
95.0 68.38 -255.00 0.0
95.0 68.38 -255.00 0.0
95.0 68.38 -255.00 0.0
95.0 68.36 -255.00 0.0
95.0 68.34 -255.00 0.0
95.0 68.32 -255.00 0.0
95.0 68.33 -255.00 0.0
95.0 68.25 -255.00 0.0
95.0 68.24 -255.00 0.0
95.0 68.29 -255.00 0.0
95.0 68.26 -255.00 0.0
95.0 68.27 -255.00 0.0
95.0 68.24 -255.00 0.0
95.0 68.25 -255.00 0.0
95.0 68.20 -255.00 0.0
95.0 68.11 -255.00 0.0
95.0 68.12 -255.00 0.0
95.0 68.10 -255.00 0.0
95.0 68.11 -255.00 0.0
95.0 68.07 -255.00 0.0
95.0 68.10 -255.00 0.0
95.0 68.11 -255.00 0.0
95.0 68.03 -255.00 0.0
95.0 68.06 -255.00 0.0
95.0 68.07 -255.00 0.0
95.0 68.10 -255.00 0.0
95.0 68.13 -255.00 0.0
95.0 68.13 -255.00 0.0
95.0 68.07 -255.00 0.0
95.0 68.19 -255.00 0.0
95.0 68.17 -255.00 0.0
95.0 68.17 -255.00 0.0
95.0 68.17 -255.00 0.0
95.0 68.14 -255.00 0.0
95.0 68.17 -255.00 0.0
95.0 68.14 -255.00 0.0
95.0 68.08 -255.00 0.3
95.0 68.09 -255.00 0.0
95.0 68.14 -255.00 0.0
95.0 68.16 -255.00 0.0
95.0 68.14 -255.00 0.0
95.0 68.17 -255.00 0.0
95.0 68.14 -255.00 0.0
95.0 68.17 -255.00 0.0
95.0 68.15 -255.00 0.0
95.0 68.17 -255.00 0.0
95.0 68.13 -255.00 0.0
95.0 68.15 -255.00 0.0
95.0 68.15 -255.00 0.0
95.0 68.15 -255.00 0.0
95.0 68.15 -255.00 0.0
95.0 68.18 -255.00 0.0
95.0 68.20 -255.00 0.0
95.0 68.28 -255.00 0.0
95.0 68.31 -255.00 0.0
95.0 68.43 -255.00 0.0
95.0 68.51 -255.00 0.0
95.0 68.43 -255.00 0.0
95.0 68.36 -255.00 0.0
95.0 68.34 -255.00 0.0
95.0 68.32 -255.00 0.0
95.0 68.35 -255.00 0.0
95.0 68.33 -255.00 0.0
95.0 68.36 -255.00 0.0
95.0 68.38 -255.00 0.0
95.0 68.32 -255.00 0.0
95.0 68.30 -255.00 0.0
95.0 68.29 -255.00 0.0
95.0 68.27 -255.00 0.0
95.0 68.24 -255.00 0.0
95.0 68.26 -255.00 0.0
95.0 68.25 -255.00 0.0
95.0 68.24 -255.00 0.0
95.0 68.23 -255.00 0.1
95.0 68.22 -255.00 0.0
95.0 68.20 -255.00 0.0
95.0 68.13 -255.00 0.0
95.0 68.13 -255.00 0.0
95.0 68.16 -255.00 0.0
95.0 68.22 -255.00 0.0
95.0 68.22 -255.00 0.0
95.0 68.17 -255.00 0.0
95.0 68.15 -255.00 0.0
95.0 68.13 -255.00 0.0
95.0 68.13 -255.00 0.0
95.0 68.13 -255.00 0.0
95.0 68.18 -255.00 0.0
95.0 68.18 -255.00 0.0
95.0 68.09 -255.00 0.0
95.0 67.99 -255.00 0.0
95.0 68.03 -255.00 0.0
95.0 68.11 -255.00 0.0
95.0 68.11 -255.00 0.0
95.0 68.14 -255.00 0.0
95.0 68.14 -255.00 0.2
95.0 68.14 -255.00 0.0
95.0 68.17 -255.00 0.0
95.0 68.17 -255.00 0.0
95.0 68.19 -255.00 0.0
95.0 68.21 -255.00 0.0
95.0 68.18 -255.00 0.0
95.0 68.16 -255.00 0.0
95.0 68.16 -255.00 0.0
95.0 68.16 -255.00 0.0
95.0 68.14 -255.00 0.0
95.0 68.12 -255.00 0.0
95.0 68.12 -255.00 0.0
95.0 68.08 -255.00 0.0
95.0 68.09 -255.00 0.0
95.0 68.10 -255.00 0.0
95.0 68.15 -255.00 0.0
95.0 68.15 -255.00 0.0
95.0 68.11 -255.00 0.0
95.0 68.05 -255.00 0.0
95.0 68.04 -255.00 0.0
95.0 68.14 -255.00 0.0
95.0 68.08 -255.00 0.0
95.0 68.06 -255.00 0.0
95.0 68.10 -255.00 0.0
95.0 68.08 -255.00 0.0
95.0 68.11 -255.00 0.0
95.0 68.12 -255.00 0.0
95.0 68.12 -255.00 0.0
95.0 68.19 -255.00 0.0
95.0 68.08 -255.00 0.0
95.0 68.05 -255.00 0.0
95.0 68.12 -255.00 0.0
95.0 67.98 -255.00 0.0
95.0 67.93 -255.00 0.0
95.0 67.94 -255.00 0.0
95.0 67.94 -255.00 0.0
95.0 67.94 -255.00 0.0
95.0 67.94 -255.00 0.0
95.0 67.94 -255.00 0.0
95.0 67.94 -255.00 0.0
95.0 67.96 -255.00 0.0
95.0 67.96 -255.00 0.0
95.0 67.98 -255.00 0.0
95.0 67.96 -255.00 0.0
95.0 67.98 -255.00 0.0
95.0 67.97 -255.00 0.0
95.0 67.95 -255.00 0.0
95.0 67.95 -255.00 0.0
95.0 67.87 -255.00 0.0
95.0 67.87 -255.00 0.0
95.0 67.82 -255.00 0.0
95.0 67.83 -255.00 0.0
95.0 67.86 -255.00 0.0
95.0 67.75 -255.00 0.0
95.0 67.77 -255.00 0.0
95.0 67.79 -255.00 0.0
95.0 67.80 -255.00 0.0
95.0 67.82 -255.00 0.0
95.0 67.83 -255.00 0.0
95.0 67.88 -255.00 0.0
95.0 67.91 -255.00 0.0
95.0 67.92 -255.00 0.0
95.0 67.94 -255.00 0.0
95.0 67.94 -255.00 0.0
95.0 67.96 -255.00 0.0
95.0 67.94 -255.00 0.0
95.0 67.96 -255.00 0.0
95.0 67.96 -255.00 0.0
95.0 67.96 -255.00 0.0
95.0 67.96 -255.00 0.0
95.0 67.89 -255.00 0.0
95.0 67.86 -255.00 0.2
95.0 67.89 -255.00 0.0
95.0 68.02 -255.00 0.0
95.0 67.95 -255.00 0.0
95.0 67.93 -255.00 0.0
95.0 67.98 -255.00 0.0
95.0 67.97 -255.00 0.0
95.0 67.97 -255.00 0.0
95.0 67.95 -255.00 0.0
95.0 67.95 -255.00 0.0
e 8.183873891830444
