55.0  -71.13 0.0
55.0 41.41 -67.08 0.0
55.0 41.39 -70.43 0.0
55.0 41.37 -62.38 0.0
55.0 
55.0 41.39 -255.00 0.0
55.0 41.38 54.66 0.0
55.0 41.36 47.78 0.0
55.0 41.34 41.71 0.3
55.0 41.31 156.03 0.2
55.0 41.32 -69.85 1.3
55.0 41.25 -44.95 2.7
55.0 41.22 -52.26 3.1
55.0 41.18 -54.87 3.0
55.0 41.17 -55.60 3.2
55.0 41.15 -54.51 3.5
55.0 41.18 -72.02 3.7
55.0 41.18 -65.77 4.2
55.0 41.17 -55.60 4.4
55.0 41.16 -55.45 5.0
55.0 41.16 -65.27 4.9
55.0 41.15 -55.32 5.1
55.0 41.08 -34.17 5.3
55.0 41.07 -54.27 5.4
55.0 41.07 -59.66 5.8
55.0 41.07 -54.23 5.6
55.0 41.07 -54.21 5.7
55.0 41.17 -94.89 5.8
55.0 41.18 -63.84 6.5
55.0 41.17 -58.70 6.6
55.0 41.18 -63.83 6.8
55.0 41.18 -65.68 6.5
55.0 41.09 -26.39 6.8
55.0 41.07 -49.18 6.8
55.0 41.03 -44.75 6.2
55.0 41.04 -53.72 6.5
55.0 41.03 -52.28 6.7
55.0 41.01 -45.28 6.7
55.0 41.00 -54.43 6.7
55.0 41.01 -53.35 6.9
55.0 41.00 -51.84 6.6
55.0 41.04 -65.98 6.9
55.0 41.05 -60.45 6.9
55.0 41.05 -56.62 6.9
55.0 41.00 -33.13 6.9
55.0 41.05 -73.77 7.0
55.0 41.04 -49.76 6.8
55.0 41.04 -56.40 7.0
55.0 41.04 -53.85 6.9
55.0 41.06 -62.94 7.1
55.0 41.06 -54.03 7.0
55.0 41.05 -49.85 7.1
55.0 41.02 -47.48 6.7
55.0 41.01 -49.32 7.1
55.0 40.98 -43.82 6.9
55.0 41.00 -57.28 6.9
55.0 41.00 -54.27 6.7
55.0 41.00 -53.26 6.6
55.0 40.99 -44.97 6.9
55.0 40.98 -53.98 6.9
55.0 40.98 -48.90 6.9
55.0 40.97 -47.34 7.2
55.0 40.93 -36.17 6.8
55.0 40.92 -49.00 6.1
55.0 40.90 -39.80 6.9
55.0 40.88 -38.07 6.6
55.0 40.89 -51.76 6.5
55.0 40.89 -45.93 6.4
55.0 40.88 -45.85 6.5
55.0 40.90 -51.87 6.3
55.0 40.91 -52.27 6.4
55.0 40.90 -43.78 6.4
55.0 40.89 -46.03 6.4
55.0 40.93 -60.40 6.4
55.0 40.91 -45.16 6.1
55.0 40.92 -48.04 6.7
55.0 40.91 -43.90 6.4
55.0 40.91 -52.42 6.9
55.0 40.96 -64.86 6.5
55.0 40.95 -47.04 6.7
55.0 40.93 -40.13 6.3
55.0 40.92 -48.92 6.0
55.0 40.91 -43.93 6.5
55.0 40.96 -64.83 6.5
55.0 40.93 -41.84 6.5
55.0 40.91 -39.84 7.3
55.0 40.87 -34.12 6.5
55.0 40.88 -47.46 5.8
55.0 40.87 -47.86 6.3
55.0 40.89 -51.72 6.3
55.0 40.83 -25.91 6.7
55.0 40.84 -48.92 6.0
55.0 40.81 -30.49 6.0
55.0 40.79 -36.55 5.8
55.0 40.87 -71.80 6.2
55.0 40.90 -59.48 5.8
55.0 40.88 -35.40 5.8
55.0 40.86 -41.62 6.3
55.0 40.85 -39.03 6.7
55.0 40.85 -45.18 6.3
55.0 40.89 -61.30 6.0
55.0 40.88 -39.41 6.1
55.0 40.87 -47.86 6.3
55.0 40.80 -18.42 6.0
55.0 40.79 -36.43 6.0
55.0 40.81 -50.64 5.5
55.0 40.90 -77.82 5.2
55.0 40.87 -31.24 6.4
55.0 40.85 -39.08 6.0
55.0 40.83 -39.66 5.9
55.0 40.80 -30.31 5.8
55.0 40.79 -40.33 5.7
55.0 40.82 -50.71 5.8
55.0 40.80 -38.97 5.8
55.0 40.79 -38.25 5.2
55.0 40.79 -40.24 6.1
55.0 40.75 -28.16 5.8
55.0 40.73 -29.29 5.0
55.0 40.71 -31.13 5.5
55.0 40.63 -8.07 5.5
55.0 40.69 -53.67 5.3
55.0 40.67 -28.50 5.2
55.0 40.67 -34.19 4.6
55.0 40.64 -26.14 5.1
55.0 40.69 -52.99 5.0
55.0 40.69 -34.57 4.9
55.0 40.65 -20.21 5.0
55.0 40.57 -8.67 4.8
55.0 40.56 -25.53 4.8
55.0 40.56 -28.46 4.3
55.0 40.56 -26.91 4.5
55.0 40.56 -32.30 4.6
55.0 40.59 -40.43 4.1
55.0 40.58 -27.30 4.5
55.0 40.54 -18.80 4.4
55.0 40.57 -39.22 4.7
55.0 40.57 -28.61 4.5
55.0 40.57 -31.18 4.4
55.0 40.57 -30.12 3.9
55.0 40.57 -31.18 4.3
55.0 40.51 -6.43 4.3
55.0 40.51 -27.63 4.1
55.0 40.52 -26.35 3.9
55.0 40.50 -23.65 3.9
55.0 40.48 -17.93 4.0
55.0 40.49 -28.29 3.7
55.0 40.49 -26.00 3.6
55.0 40.47 -17.75 3.6
55.0 40.42 -8.89 3.9
55.0 40.41 -15.63 3.5
55.0 40.40 -17.93 3.4
55.0 40.33 8.07 3.2
55.0 40.34 -23.97 3.3
55.0 40.37 -28.37 3.1
55.0 40.39 -24.56 3.4
55.0 40.42 -33.51 3.3
55.0 40.42 -22.10 3.7
55.0 40.51 -54.20 3.3
55.0 40.46 -9.69 3.3
55.0 40.45 -18.83 3.5
55.0 40.39 -0.73 3.5
55.0 40.40 -24.03 3.1
55.0 40.39 -17.82 3.0
55.0 40.36 -9.71 3.1
55.0 40.35 -12.01 2.9
55.0 40.32 -7.67 2.6
55.0 40.33 -19.75 2.6
55.0 40.30 -8.65 3.0
55.0 40.30 -14.65 2.7
55.0 40.28 -8.24 2.5
55.0 40.27 -11.00 2.3
55.0 40.27 -11.70 2.1
55.0 40.26 -10.79 2.4
55.0 40.26 -15.42 2.2
55.0 40.26 -11.52 1.9
55.0 40.17 16.19 2.5
55.0 40.19 -13.57 2.1
55.0 40.19 -10.27 2.3
55.0 40.20 -14.25 2.1
55.0 40.23 -22.39 2.2
55.0 40.23 -11.00 2.5
55.0 40.22 -10.93 2.5
55.0 40.21 -6.91 2.1
55.0 40.21 -9.55 2.1
55.0 40.21 -9.53 2.2
55.0 40.21 -10.60 1.8
55.0 40.19 -5.92 2.0
55.0 40.19 -9.89 2.1
55.0 40.18 -5.77 1.8
55.0 40.21 -18.03 1.6
55.0 40.19 -5.92 1.8
55.0 40.17 -0.80 1.7
55.0 40.19 -13.99 1.6
55.0 40.18 -5.66 1.6
55.0 40.17 -5.53 1.6
55.0 40.18 -13.50 1.4
55.0 40.17 -6.18 1.8
55.0 40.14 2.75 1.5
55.0 40.14 -4.20 1.4
55.0 40.12 -0.92 1.3
55.0 40.11 -0.72 1.3
55.0 40.10 -4.66 1.2
55.0 40.09 -0.05 1.1
55.0 40.08 -0.36 1.1
55.0 40.07 -0.22 1.0
55.0 40.05 4.53 1.1
55.0 40.05 -3.90 0.7
55.0 40.03 8.32 1.0
55.0 40.03 -3.74 0.7
55.0 40.00 8.60 1.1
55.0 39.99 5.28 0.9
55.0 39.99 0.81 0.9
55.0 40.00 -3.61 0.7
55.0 40.00 0.81 0.7
55.0 40.00 0.81 0.7
55.0 39.92 30.05 0.7
55.0 39.93 1.13 1.4
55.0 39.92 5.02 0.8
55.0 39.93 0.58 0.8
55.0 39.92 5.11 0.7
55.0 39.93 0.59 1.1
55.0 39.94 -3.35 0.8
55.0 39.95 0.85 0.7
55.0 39.95 0.84 0.5
55.0 39.91 17.60 0.6
55.0 39.95 -11.78 0.7
55.0 39.93 8.83 0.7
55.0 39.93 5.06 0.7
55.0 39.95 -8.26 0.8
55.0 39.98 -7.07 0.3
55.0 39.97 5.02 1.0
55.0 39.96 4.93 0.9
55.0 39.95 5.12 0.8
55.0 39.93 9.50 0.9
55.0 39.92 5.06 0.8
55.0 39.93 0.86 0.8
55.0 39.91 9.25 0.7
55.0 39.90 9.38 0.9
55.0 39.93 -8.35 0.9
55.0 39.91 9.00 0.7
55.0 39.95 -12.74 0.7
55.0 39.95 1.13 0.9
55.0 39.95 5.04 0.9
55.0 39.94 5.08 0.8
55.0 39.92 9.24 0.8
55.0 39.91 9.41 0.8
55.0 39.89 9.21 0.8
55.0 39.91 -3.94 1.3
55.0 39.93 -3.34 0.9
55.0 39.93 1.09 1.0
55.0 39.93 5.05 0.9
55.0 39.92 5.06 0.8
55.0 39.89 18.20 0.7
55.0 39.84 21.82 0.8
55.0 39.83 9.70 1.1
55.0 39.84 4.71 0.9
55.0 39.81 17.92 1.1
55.0 39.80 9.64 1.1
55.0 39.83 -3.27 1.1
55.0 39.83 9.53 1.0
55.0 39.83 4.69 0.9
55.0 39.82 9.11 1.1
55.0 39.82 9.57 1.2
55.0 39.79 17.86 0.9
55.0 39.81 1.70 1.1
55.0 39.81 9.05 1.0
55.0 39.80 9.34 0.5
55.0 39.80 9.34 0.6
55.0 39.82 0.18 0.8
55.0 39.78 21.86 1.0
55.0 39.84 -14.38 0.8
55.0 39.82 13.49 1.1
55.0 39.81 13.57 1.2
55.0 39.83 0.94 1.2
55.0 39.82 9.57 1.2
55.0 39.79 17.86 1.4
55.0 39.78 13.71 1.3
55.0 39.74 26.05 1.2
55.0 39.74 9.97 1.3
55.0 39.73 13.57 1.5
55.0 39.73 9.39 1.5
55.0 39.74 9.98 1.2
55.0 39.72 17.59 1.5
55.0 39.72 9.40 1.3
55.0 39.73 9.39 1.3
55.0 39.72 13.58 1.5
55.0 39.71 14.03 1.6
55.0 39.71 13.59 1.2
55.0 39.68 21.94 1.4
55.0 39.66 22.44 1.4
55.0 39.65 17.80 2.2
55.0 39.67 6.35 2.0
55.0 39.65 21.76 1.4
55.0 39.64 18.35 1.4
55.0 39.65 10.40 1.8
55.0 39.65 13.63 1.7
55.0 39.66 10.34 1.6
55.0 39.70 2.27 1.3
55.0 39.70 8.66 1.6
55.0 39.70 13.60 1.6
55.0 39.69 13.60 1.6
55.0 39.69 14.71 1.5
55.0 39.68 17.78 1.6
55.0 39.66 18.22 1.6
55.0 39.66 14.29 1.6
55.0 39.64 21.97 1.6
55.0 39.67 6.38 2.1
55.0 39.65 17.35 1.8
55.0 39.65 15.03 1.8
55.0 39.66 13.63 1.6
55.0 39.67 9.44 1.8
55.0 39.69 5.24 2.0
55.0 39.68 13.61 1.6
55.0 39.68 14.20 2.1
55.0 39.70 5.23 1.3
55.0 39.70 13.08 1.7
55.0 39.69 14.69 1.5
55.0 39.70 9.42 1.5
55.0 39.70 13.60 1.5
55.0 39.68 17.78 1.8
55.0 39.68 14.21 1.3
55.0 39.70 6.21 1.5
55.0 39.71 8.68 1.5
55.0 39.70 13.59 1.2
55.0 39.70 14.12 1.6
55.0 39.67 21.95 1.7
55.0 39.67 14.25 1.5
55.0 39.66 18.25 1.6
55.0 39.67 10.31 1.7
55.0 39.67 13.62 1.6
55.0 39.67 14.27 1.5
55.0 39.70 2.25 1.3
55.0 39.69 13.07 1.5
55.0 39.72 2.13 1.5
55.0 39.71 17.55 1.6
55.0 39.70 14.61 1.5
55.0 39.68 21.94 1.5
55.0 39.64 26.12 1.6
55.0 39.65 10.38 1.3
55.0 39.66 14.33 1.7
55.0 39.67 10.33 1.9
55.0 39.67 13.62 1.7
55.0 39.68 9.44 2.0
55.0 39.63 30.15 1.6
55.0 39.65 9.46 1.7
55.0 39.63 21.99 1.6
55.0 39.65 6.46 1.7
55.0 39.65 12.92 2.0
55.0 39.66 10.35 1.6
55.0 39.67 9.44 1.7
55.0 39.67 14.25 1.7
55.0 39.66 17.80 1.6
55.0 39.65 17.80 1.0
55.0 39.66 10.36 1.7
55.0 39.62 30.22 1.7
55.0 39.58 30.41 1.6
55.0 39.62 1.10 1.8
55.0 39.63 9.47 1.8
55.0 39.65 9.46 1.6
55.0 39.67 4.10 1.6
55.0 39.68 9.43 1.9
55.0 39.69 8.61 1.6
55.0 39.69 14.18 1.6
55.0 39.67 17.78 1.6
55.0 39.71 -3.17 2.3
55.0 39.71 14.07 1.5
55.0 39.75 -1.95 1.3
55.0 39.78 -2.12 1.6
55.0 39.78 9.36 1.4
55.0 39.78 8.94 1.1
55.0 39.77 13.78 1.5
55.0 39.77 9.36 1.5
55.0 39.78 5.17 1.3
55.0 39.79 5.17 1.3
55.0 39.82 -4.28 1.3
55.0 39.80 13.61 1.1
55.0 39.78 17.70 1.1
55.0 39.79 6.38 1.2
55.0 39.74 26.51 1.3
55.0 39.78 -3.22 0.9
55.0 39.82 -6.28 1.5
55.0 39.80 13.60 1.4
55.0 39.80 9.67 1.4
55.0 39.79 9.00 1.4
55.0 39.79 8.99 1.3
55.0 39.78 13.72 1.4
55.0 39.76 17.72 1.1
55.0 39.73 21.85 1.5
55.0 39.71 17.76 1.4
55.0 39.68 22.07 2.0
55.0 39.69 10.21 1.5
55.0 39.76 -15.86 1.5
55.0 39.78 2.65 1.6
55.0 39.78 9.35 1.4
55.0 39.78 9.35 1.4
55.0 39.77 13.35 1.6
55.0 39.81 -6.25 1.6
55.0 39.80 13.63 1.5
55.0 39.79 9.34 1.3
55.0 39.79 9.35 1.5
55.0 39.80 5.15 1.6
55.0 39.80 9.00 1.4
55.0 39.80 5.15 1.3
55.0 39.81 4.61 1.3
55.0 39.84 -3.27 1.3
55.0 39.85 1.50 1.1
55.0 39.85 4.77 1.2
55.0 39.84 9.30 1.1
