12:25:04.836106
94.0  0 102.9
94.0 91.83 0 102.9
94.0 91.82 0 103.5
94.0 91.77 0 104.8
94.0 91.82 0 103.5
94.0 
94.0 91.86 0.19 104.2
94.0 91.94 -63.60 106.8
94.0 92.06 -111.45 108.2
94.0 92.03 -39.67 106.8
94.0 92.24 -84.60 105.5
94.0 92.43 -82.47 106.1
94.0 92.46 -61.17 103.5
94.0 92.17 -4.78 106.1
94.0 92.31 -17.33 104.2
94.0 92.60 -45.37 105.5
94.0 92.42 -9.24 102.3
94.0 92.65 -31.60 104.8
94.0 92.65 -20.89 105.5
94.0 92.56 -0.87 101.7
94.0 92.53 7.26 104.2
94.0 92.36 31.64 102.3
94.0 92.49 11.14 104.8
94.0 92.41 21.92 105.5
94.0 92.49 11.12 102.3
94.0 92.66 -10.29 105.5
94.0 92.71 -10.95 104.8
94.0 92.66 0.69 101.7
94.0 92.71 -3.40 103.5
94.0 92.57 18.71 103.5
94.0 92.63 9.48 104.2
94.0 92.68 3.59 104.8
94.0 92.59 19.12 103.5
94.0 92.55 22.57 102.9
94.0 92.61 12.61 104.2
94.0 92.72 -0.43 103.5
94.0 92.44 39.86 103.5
94.0 92.42 36.59 104.2
94.0 92.40 33.90 105.5
94.0 92.52 12.47 108.2
94.0 92.59 4.77 104.2
94.0 92.69 -7.25 105.5
94.0 92.65 3.94 104.8
94.0 92.70 -1.05 104.8
94.0 92.79 -9.17 103.5
94.0 92.64 16.31 103.5
94.0 92.85 -10.06 105.5
94.0 93.03 -27.72 104.2
94.0 93.04 -19.91 103.5
94.0 92.91 4.02 102.9
94.0 92.94 2.36 104.8
94.0 93.06 -11.79 106.1
94.0 93.22 -26.77 101.7
94.0 93.17 -11.53 109.7
94.0 93.02 10.78 104.2
94.0 92.94 20.94 109.0
94.0 93.06 2.21 105.5
94.0 93.22 -17.26 103.5
94.0 93.17 -4.34 110.5
94.0 93.27 -13.57 104.2
94.0 93.26 -6.90 106.1
94.0 93.15 9.52 102.9
94.0 93.20 2.29 105.5
94.0 93.11 17.13 105.5
94.0 93.11 14.41 104.2
94.0 93.12 12.44 108.2
94.0 93.03 23.78 104.2
94.0 92.99 24.93 103.5
94.0 93.06 13.27 105.5
94.0 93.17 -2.23 101.7
94.0 93.12 6.70 105.5
94.0 93.03 19.51 104.2
94.0 93.04 15.43 106.1
94.0 93.06 12.43 102.3
94.0 93.02 16.52 104.2
94.0 92.89 31.16 104.2
94.0 92.97 16.50 102.9
94.0 92.62 61.23 103.5
94.0 92.73 36.86 104.2
94.0 92.87 11.79 106.1
94.0 92.90 7.78 104.2
94.0 92.83 17.44 104.2
94.0 92.86 11.59 106.1
94.0 92.75 25.86 104.2
94.0 92.79 17.04 104.8
94.0 92.74 22.95 109.7
94.0 92.78 14.68 104.8
94.0 92.77 15.34 103.5
94.0 92.91 -2.94 104.2
94.0 93.14 -28.18 105.5
94.0 93.29 -38.19 102.9
94.0 93.18 -14.17 105.5
94.0 93.18 -8.22 104.8
94.0 93.38 -29.30 105.5
94.0 93.36 -17.48 104.2
94.0 93.20 8.29 104.8
94.0 93.29 -4.38 103.5
94.0 93.28 0.39 106.8
94.0 93.47 -21.78 104.8
94.0 93.75 -49.87 104.2
94.0 93.74 -35.34 106.1
94.0 93.68 -18.59 105.5
94.0 93.63 -6.59 106.1
94.0 93.68 -10.72 106.8
94.0 93.58 5.17 106.8
94.0 93.45 23.56 101.7
94.0 93.52 10.32 108.2
94.0 93.79 -27.09 104.8
94.0 93.77 -17.90 103.5
94.0 93.76 -11.00 109.0
94.0 93.70 -0.07 104.8
94.0 93.65 7.85 106.1
94.0 93.60 13.91 104.2
94.0 93.56 17.28 107.5
94.0 93.72 -7.25 105.5
94.0 93.62 8.15 103.5
94.0 93.62 6.84 103.5
94.0 93.43 31.49 102.9
94.0 93.31 40.86 106.1
94.0 93.30 34.45 106.8
94.0 93.24 36.03 103.5
94.0 93.33 17.49 104.8
94.0 93.22 29.25 105.5
94.0 93.07 43.81 102.3
94.0 93.08 34.14 103.5
94.0 93.19 14.44 106.8
94.0 93.19 13.35 104.8
94.0 93.18 12.52 103.5
94.0 93.18 11.86 103.5
94.0 93.33 -8.60 104.8
94.0 93.41 -14.99 104.2
94.0 93.69 -45.34 105.5
94.0 93.45 -4.98 104.8
94.0 93.63 -25.08 106.8
94.0 93.78 -36.31 106.8
94.0 93.87 -36.95 104.2
94.0 94.05 -49.16 101.1
94.0 93.92 -19.16 103.5
94.0 93.89 -10.74 103.5
94.0 93.82 1.83 104.2
94.0 93.75 10.93 102.9
94.0 93.69 16.65 104.8
94.0 93.79 0.70 104.2
94.0 93.54 34.95 103.5
94.0 93.60 19.48 100.6
94.0 93.76 -3.11 104.8
94.0 93.75 0.03 104.2
94.0 93.89 -18.03 102.9
94.0 93.92 -16.01 104.8
94.0 94.04 -26.61 106.8
94.0 94.16 -33.99 106.8
94.0 94.06 -13.93 102.3
94.0 93.97 1.21 104.2
94.0 94.25 -36.11 104.2
94.0 94.14 -13.42 111.3
94.0 94.00 6.93 103.5
94.0 93.77 37.41 104.8
94.0 93.71 37.10 109.0
94.0 93.96 -1.64 106.1
94.0 94.14 -23.91 109.0
94.0 94.35 -43.20 104.2
94.0 94.43 -42.77 104.2
94.0 94.35 -23.23 106.8
94.0 94.23 -2.69 103.5
94.0 94.23 -1.08 105.5
94.0 94.02 24.75 103.5
94.0 93.94 29.86 105.5
94.0 94.45 -41.36 104.2
94.0 94.42 -28.15 108.2
94.0 94.30 -5.67 105.5
94.0 94.18 9.88 105.5
94.0 93.99 33.81 108.2
94.0 94.10 10.71 101.7
94.0 94.21 -6.08 103.5
94.0 94.16 2.83 103.5
94.0 94.06 14.80 104.8
94.0 94.17 -3.53 103.5
94.0 94.12 3.94 104.2
94.0 94.07 9.30 107.5
94.0 93.93 25.81 104.8
94.0 94.11 -3.67 102.3
94.0 93.92 20.46 104.2
94.0 93.70 45.06 104.2
94.0 93.85 16.19 104.8
94.0 93.98 -4.80 104.8
94.0 94.10 -17.57 104.2
94.0 94.06 -7.29 104.8
94.0 93.83 25.78 104.2
94.0 93.57 50.97 104.2
94.0 93.73 18.20 104.2
94.0 93.88 -3.65 108.2
94.0 94.11 -31.97 105.5
