09:27:46.366514
40 0 23.5
40 0.00 0 23.5
40 0.00 0 23.5
40 0.00 0 23.5
40 0.00 0 23.5
40 0.00 0 23.5
40 
40 8.00 32.00 23.5
40 14.40 25.60 23.5
40 19.52 20.48 23.5
40 23.62 16.38 23.5
40 26.89 13.11 23.5
40 29.51 10.49 23.5
40 31.61 8.39 23.5
40 33.29 6.71 23.5
40 34.63 5.37 23.5
40 35.71 4.29 23.5
40 36.56 3.44 23.5
40 37.25 2.75 23.5
40 37.80 2.20 23.5
40 38.24 1.76 23.5
40 38.59 1.41 23.5
40 38.87 1.13 23.5
40 39.10 0.90 23.5
40 39.28 0.72 23.5
40 39.42 0.58 23.5
40 39.54 0.46 23.5
40 39.63 0.37 23.5
40 39.70 0.30 23.5
40 39.76 0.24 23.5
40 39.81 0.19 23.5
40 39.85 0.15 23.5
40 39.88 0.12 23.5
40 39.90 0.10 23.5
40 39.92 0.08 23.5
40 39.94 0.06 23.5
40 39.95 0.05 23.5
40 39.96 0.04 23.5
40 39.97 0.03 23.5
40 39.97 0.03 23.5
40 39.98 0.02 23.5
40 39.98 0.02 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
90.0 40.00 0.00 23.5
90.0 
90.0 
90.0 50.00 40.00 23.5
90.0 58.00 32.00 23.5
90.0 64.40 25.60 23.5
90.0 69.52 20.48 23.5
90.0 73.62 16.38 23.5
90.0 76.89 13.11 23.5
90.0 79.51 10.49 23.5
90.0 81.61 8.39 23.5
90.0 83.29 6.71 23.5
90.0 84.63 5.37 23.5
90.0 85.71 4.29 23.5
90.0 86.56 3.44 23.5
90.0 87.25 2.75 23.5
90.0 87.80 2.20 23.5
90.0 88.24 1.76 23.5
90.0 88.59 1.41 23.5
90.0 88.87 1.13 23.5
90.0 89.10 0.90 23.5
90.0 89.28 0.72 23.5
90.0 89.42 0.58 23.5
90.0 89.54 0.46 23.5
90.0 89.63 0.37 23.5
90.0 89.70 0.30 23.5
90.0 89.76 0.24 23.5
90.0 89.81 0.19 23.5
90.0 89.85 0.15 23.5
90.0 89.88 0.12 23.5
90.0 89.90 0.10 23.5
90.0 89.92 0.08 23.5
90.0 89.94 0.06 23.5
90.0 89.95 0.05 23.5
90.0 89.96 0.04 23.5
90.0 89.97 0.03 23.5
90.0 89.97 0.03 23.5
90.0 89.98 0.02 23.5
90.0 89.98 0.02 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 89.99 0.01 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
90.0 90.00 0.00 23.5
