09:28:40.570031
40  0 23.5
40 0.00 0 23.5
40 0.00 0 23.5
40 0.00 0 23.5
40 0.00 0 23.5
40 0.00 0 23.5
40 
40 2.00 38.00 23.5
40 3.90 36.10 23.5
40 5.71 34.29 23.5
40 7.42 32.58 23.5
40 9.05 30.95 23.5
40 10.60 29.40 23.5
40 12.07 27.93 23.5
40 13.46 26.54 23.5
40 14.79 25.21 23.5
40 16.05 23.95 23.5
40 17.25 22.75 23.5
40 18.39 21.61 23.5
40 19.47 20.53 23.5
40 20.49 19.51 23.5
40 21.47 18.53 23.5
40 22.39 17.61 23.5
40 23.28 16.72 23.5
40 24.11 15.89 23.5
40 24.91 15.09 23.5
40 25.66 14.34 23.5
40 26.38 13.62 23.5
40 27.06 12.94 23.5
40 27.71 12.29 23.5
40 28.32 11.68 23.5
40 28.90 11.10 23.5
40 29.46 10.54 23.5
40 29.99 10.01 23.5
40 30.49 9.51 23.5
40 30.96 9.04 23.5
40 31.41 8.59 23.5
40 31.84 8.16 23.5
40 32.25 7.75 23.5
40 32.64 7.36 23.5
40 33.01 6.99 23.5
40 33.36 6.64 23.5
40 33.69 6.31 23.5
40 34.00 6.00 23.5
40 34.30 5.70 23.5
40 34.59 5.41 23.5
40 34.86 5.14 23.5
40 35.12 4.88 23.5
40 35.36 4.64 23.5
40 35.59 4.41 23.5
40 35.81 4.19 23.5
40 36.02 3.98 23.5
40 36.22 3.78 23.5
40 36.41 3.59 23.5
40 36.59 3.41 23.5
40 36.76 3.24 23.5
40 36.92 3.08 23.5
40 37.08 2.92 23.5
40 37.22 2.78 23.5
40 37.36 2.64 23.5
40 37.49 2.51 23.5
40 37.62 2.38 23.5
40 37.74 2.26 23.5
40 37.85 2.15 23.5
40 37.96 2.04 23.5
40 38.06 1.94 23.5
40 38.16 1.84 23.5
40 38.25 1.75 23.5
40 38.34 1.66 23.5
40 38.42 1.58 23.5
40 38.50 1.50 23.5
40 38.57 1.43 23.5
40 38.65 1.35 23.5
40 38.71 1.29 23.5
40 38.78 1.22 23.5
40 38.84 1.16 23.5
40 38.90 1.10 23.5
40 38.95 1.05 23.5
40 39.00 1.00 23.5
40 39.05 0.95 23.5
40 39.10 0.90 23.5
40 39.15 0.85 23.5
40 39.19 0.81 23.5
40 39.23 0.77 23.5
40 39.27 0.73 23.5
40 39.30 0.70 23.5
40 39.34 0.66 23.5
40 39.37 0.63 23.5
40 39.40 0.60 23.5
40 39.43 0.57 23.5
40 39.46 0.54 23.5
40 39.49 0.51 23.5
40 39.51 0.49 23.5
40 39.54 0.46 23.5
40 39.56 0.44 23.5
40 39.58 0.42 23.5
40 39.60 0.40 23.5
40 39.62 0.38 23.5
40 39.64 0.36 23.5
40 39.66 0.34 23.5
40 39.68 0.32 23.5
40 39.69 0.31 23.5
40 39.71 0.29 23.5
40 39.72 0.28 23.5
40 39.74 0.26 23.5
40 39.75 0.25 23.5
40 39.76 0.24 23.5
40 39.78 0.22 23.5
40 39.79 0.21 23.5
40 39.80 0.20 23.5
40 39.81 0.19 23.5
40 39.82 0.18 23.5
40 39.83 0.17 23.5
40 39.83 0.17 23.5
40 39.84 0.16 23.5
40 39.85 0.15 23.5
40 39.86 0.14 23.5
40 39.87 0.13 23.5
40 39.87 0.13 23.5
40 39.88 0.12 23.5
40 39.88 0.12 23.5
40 39.89 0.11 23.5
40 39.90 0.10 23.5
40 39.90 0.10 23.5
40 39.91 0.09 23.5
40 39.91 0.09 23.5
40 39.92 0.08 23.5
40 39.92 0.08 23.5
40 39.92 0.08 23.5
40 39.93 0.07 23.5
40 39.93 0.07 23.5
40 39.93 0.07 23.5
40 39.94 0.06 23.5
40 39.94 0.06 23.5
40 39.94 0.06 23.5
40 39.95 0.05 23.5
40 39.95 0.05 23.5
40 39.95 0.05 23.5
40 39.95 0.05 23.5
40 39.96 0.04 23.5
40 39.96 0.04 23.5
40 39.96 0.04 23.5
40 39.96 0.04 23.5
40 39.96 0.04 23.5
40 39.97 0.03 23.5
40 39.97 0.03 23.5
40 39.97 0.03 23.5
40 39.97 0.03 23.5
40 39.97 0.03 23.5
40 39.97 0.03 23.5
40 39.98 0.02 23.5
40 39.98 0.02 23.5
40 39.98 0.02 23.5
40 39.98 0.02 23.5
40 39.98 0.02 23.5
40 39.98 0.02 23.5
40 39.98 0.02 23.5
40 39.98 0.02 23.5
40 39.98 0.02 23.5
40 39.98 0.02 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 39.99 0.01 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
40 40.00 0.00 23.5
